SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
D915_07818	tyrosine kinase	1431	5	0	70	7	P:GO:0018108; F:GO:0004713; P:GO:0050794; P:GO:0044763; C:GO:0044425; F:GO:0005488; P:GO:0050896	P:peptidyl-tyrosine phosphorylation; F:protein tyrosine kinase activity; P:regulation of cellular process; P:single-organism cellular process; C:membrane part; F:binding; P:response to stimulus	EC:2.7.10	Transferring phosphorus-containing groups	IPR001245 (PRINTS); IPR000719 (SMART); IPR020635 (SMART); G3DSA:3.30.200.20 (GENE3D); G3DSA:3.40.50.2300 (GENE3D); G3DSA:1.10.510.10 (GENE3D); IPR001245 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR24418:SF284 (PANTHER); PTHR24418 (PANTHER); IPR000719 (PROSITE_PROFILES); cd00192 (CDD); IPR028082 (SUPERFAMILY); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004713; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein tyrosine kinase activity; F:protein kinase activity; P:protein phosphorylation
D915_15235	activin receptor type-1	570	5	0	70.2	2	P:GO:0016310; F:GO:0004674	P:phosphorylation; F:protein serine/threonine kinase activity	EC:2.7.11	Transferring phosphorus-containing groups	IPR003605 (SMART); IPR000719 (SMART); IPR000719 (PFAM); G3DSA:3.30.200.20 (GENE3D); G3DSA:1.10.510.10 (GENE3D); IPR003605 (PFAM); G3DSA:2.10.60.10 (GENE3D); PTHR23255:SF68 (PANTHER); IPR000333 (PANTHER); IPR003605 (PROSITE_PROFILES); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004702; C:GO:0016020; F:GO:0004672; P:GO:0007178; P:GO:0006468; F:GO:0004675	"F:ATP binding; F:signal transducer, downstream of receptor, with serine/threonine kinase activity; C:membrane; F:protein kinase activity; P:transmembrane receptor protein serine/threonine kinase signaling pathway; P:protein phosphorylation; F:transmembrane receptor protein serine/threonine kinase activity"
D915_09581	Dual specificity tyrosine-phosphorylation-regulated kinase 1B	935	5	0	73.8	3	F:GO:0000166; P:GO:0016310; F:GO:0016301	F:nucleotide binding; P:phosphorylation; F:kinase activity			IPR000719 (SMART); G3DSA:3.30.200.20 (GENE3D); IPR000719 (PFAM); G3DSA:1.10.510.10 (GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); IPR033565 (PTHR24058:PANTHER); PTHR24058 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004713; F:GO:0004672; P:GO:0006468; F:GO:0004674	F:ATP binding; F:protein tyrosine kinase activity; F:protein kinase activity; P:protein phosphorylation; F:protein serine/threonine kinase activity
D915_01388	Atrial natriuretic peptide receptor 1	224	5	8.61E-166	82.4	10	C:GO:0008074; F:GO:0005524; P:GO:0006182; C:GO:0016021; F:GO:0004383; F:GO:0004672; P:GO:0006468; C:GO:0005886; F:GO:0004016; P:GO:0035556	"C:guanylate cyclase complex, soluble; F:ATP binding; P:cGMP biosynthetic process; C:integral component of membrane; F:guanylate cyclase activity; F:protein kinase activity; P:protein phosphorylation; C:plasma membrane; F:adenylate cyclase activity; P:intracellular signal transduction"	EC:4.6.1.1; EC:4.6.1.2	Adenylate cyclase; Guanylate cyclase	PIRSF000654 (PIRSF); G3DSA:1.10.510.10 (GENE3D); IPR001245 (PFAM); G3DSA:3.30.200.20 (GENE3D); PTHR11920 (PANTHER); PTHR11920:SF305 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_05301	tyrosine kinase	1061	5	0	85.6	9	F:GO:0005524; F:GO:0004715; P:GO:0045087; P:GO:0030154; C:GO:0031234; P:GO:0007169; P:GO:0038083; F:GO:0005102; P:GO:0042127	F:ATP binding; F:non-membrane spanning protein tyrosine kinase activity; P:innate immune response; P:cell differentiation; C:extrinsic component of cytoplasmic side of plasma membrane; P:transmembrane receptor protein tyrosine kinase signaling pathway; P:peptidyl-tyrosine autophosphorylation; F:receptor binding; P:regulation of cell proliferation	EC:2.7.10; EC:2.7.10.2	Transferring phosphorus-containing groups; Non-specific protein-tyrosine kinase	IPR001245 (PRINTS); IPR020635 (SMART); IPR001245 (PFAM); G3DSA:3.30.200.20 (GENE3D); G3DSA:1.10.510.10 (GENE3D); G3DSA:1.20.120.330 (GENE3D); IPR015015 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR24418:SF87 (PANTHER); PTHR24418 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004713; F:GO:0004715; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein tyrosine kinase activity; F:non-membrane spanning protein tyrosine kinase activity; F:protein kinase activity; P:protein phosphorylation
D915_04890	tyrosine kinase	861	5	1.27E-126	76.8	9	F:GO:0005524; F:GO:0004715; P:GO:0045087; P:GO:0030154; C:GO:0031234; P:GO:0007169; P:GO:0038083; F:GO:0005102; P:GO:0042127	F:ATP binding; F:non-membrane spanning protein tyrosine kinase activity; P:innate immune response; P:cell differentiation; C:extrinsic component of cytoplasmic side of plasma membrane; P:transmembrane receptor protein tyrosine kinase signaling pathway; P:peptidyl-tyrosine autophosphorylation; F:receptor binding; P:regulation of cell proliferation	EC:2.7.10; EC:2.7.10.2	Transferring phosphorus-containing groups; Non-specific protein-tyrosine kinase	IPR001245 (PRINTS); IPR020635 (SMART); IPR001245 (PFAM); G3DSA:1.10.510.10 (GENE3D); IPR036860 (G3DSA:3.30.505.GENE3D); IPR000980 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR24418 (PANTHER); PTHR24418:SF380 (PANTHER); IPR000980 (PROSITE_PROFILES); IPR000719 (PROSITE_PROFILES); IPR036860 (SUPERFAMILY); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004713; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein tyrosine kinase activity; F:protein kinase activity; P:protein phosphorylation
D915_04973	tyrosine kinase	577	5	0	72.2	2	F:GO:0004672; P:GO:0016310	F:protein kinase activity; P:phosphorylation			IPR001245 (PRINTS); IPR020635 (SMART); G3DSA:1.10.510.10 (GENE3D); G3DSA:3.30.200.20 (GENE3D); IPR001245 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); IPR033592 (PTHR26391:PANTHER); PTHR26391 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	C:GO:0005887; F:GO:1904929; F:GO:0005524; F:GO:0004713; P:GO:0001736; P:GO:0016055; F:GO:0004672; P:GO:0006468; P:GO:0060026	"C:integral component of plasma membrane; F:coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway; F:ATP binding; F:protein tyrosine kinase activity; P:establishment of planar polarity; P:Wnt signaling pathway; F:protein kinase activity; P:protein phosphorylation; P:convergent extension"
D915_10365	phosphatidylinositol 4-kinase	375	5	0	90.4	4	C:GO:0005737; P:GO:0048015; P:GO:0046854; F:GO:0004430	C:cytoplasm; P:phosphatidylinositol-mediated signaling; P:phosphatidylinositol phosphorylation; F:1-phosphatidylinositol 4-kinase activity	EC:2.7.1.67	1-phosphatidylinositol 4-kinase	IPR000403 (SMART); IPR000403 (PFAM); G3DSA:3.30.1010.10 (GENE3D); IPR036940 (G3DSA:1.10.1070.GENE3D); PTHR10048:SF22 (PANTHER); IPR015433 (PANTHER); IPR000403 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	P:GO:0048015; P:GO:0046854; F:GO:0016301	P:phosphatidylinositol-mediated signaling; P:phosphatidylinositol phosphorylation; F:kinase activity
D915_11523	Ca2+ calmodulin-dependent kinase	369	5	0	75.4	2	P:GO:0016310; F:GO:0016301	P:phosphorylation; F:kinase activity			IPR000719 (SMART); G3DSA:3.30.200.20 (GENE3D); IPR001245 (PFAM); G3DSA:1.10.510.10 (GENE3D); PTHR24347 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_05816	serine threonine kinase	207	5	3.93E-131	74.8	3	C:GO:0005737; F:GO:0004674; P:GO:0006468	C:cytoplasm; F:protein serine/threonine kinase activity; P:protein phosphorylation	EC:2.7.11	Transferring phosphorus-containing groups	IPR000719 (SMART); G3DSA:1.10.510.10 (GENE3D); IPR000719 (PFAM); G3DSA:3.30.200.20 (GENE3D); PTHR22967 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_11178	integrin-linked kinase	341	5	0	82.6	7	F:GO:0005524; P:GO:0007229; F:GO:0004672; F:GO:0008168; C:GO:0005730; P:GO:0006468; P:GO:0032259	F:ATP binding; P:integrin-mediated signaling pathway; F:protein kinase activity; F:methyltransferase activity; C:nucleolus; P:protein phosphorylation; P:methylation			G3DSA:1.10.510.10 (GENE3D); IPR001245 (PFAM); G3DSA:3.30.200.20 (GENE3D); PTHR44344 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_01315	serine threonine kinase	354	5	0	76.8	3	F:GO:0000166; F:GO:0004672; P:GO:0016310	F:nucleotide binding; F:protein kinase activity; P:phosphorylation			G3DSA:1.10.510.10 (GENE3D); IPR000719 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR24057:SF0 (PANTHER); PTHR24057 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_06376	immunoglobulin I-set domain	1097	5	0	75.6	3	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation			IPR003599 (SMART); IPR003598 (SMART); IPR000719 (SMART); IPR013783 (G3DSA:2.60.40.GENE3D); IPR013098 (PFAM); G3DSA:1.10.510.10 (GENE3D); IPR013783 (G3DSA:2.60.40.GENE3D); IPR013783 (G3DSA:2.60.40.GENE3D); IPR013783 (G3DSA:2.60.40.GENE3D); IPR013783 (G3DSA:2.60.40.GENE3D); G3DSA:3.30.200.20 (GENE3D); IPR000719 (PFAM); IPR013783 (G3DSA:2.60.40.GENE3D); mobidb-lite (MOBIDB_LITE); PTHR45032 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR003961 (PROSITE_PROFILES); IPR007110 (PROSITE_PROFILES); cd00096 (CDD); IPR003961 (CDD); cd00096 (CDD); IPR036179 (SUPERFAMILY); IPR036116 (SUPERFAMILY); IPR011009 (SUPERFAMILY); IPR036179 (SUPERFAMILY); IPR036179 (SUPERFAMILY); IPR036179 (SUPERFAMILY)	F:GO:0005524; F:GO:0005515; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein binding; F:protein kinase activity; P:protein phosphorylation
D915_04057	Cyclin-dependent kinase 11B	624	5	0	87.2	4	P:GO:0051301; F:GO:0005524; F:GO:0004672; P:GO:0006468	P:cell division; F:ATP binding; F:protein kinase activity; P:protein phosphorylation			IPR000719 (SMART); G3DSA:3.30.200.20 (GENE3D); IPR000719 (PFAM); mobidb-lite (MOBIDB_LITE); PTHR24056 (PANTHER); PTHR24056:SF332 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_01740	tau-tubulin kinase 1	1145	5	0	72.6	3	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation			IPR000719 (SMART); G3DSA:1.10.510.10 (GENE3D); IPR000719 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR11909:SF19 (PANTHER); PTHR11909 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_05396	Fibroblast growth factor receptor 2	303	5	0	73	4	F:GO:0000166; C:GO:0016020; F:GO:0004672; P:GO:0006468	F:nucleotide binding; C:membrane; F:protein kinase activity; P:protein phosphorylation			IPR001245 (PRINTS); IPR020635 (SMART); IPR001245 (PFAM); G3DSA:1.10.510.10 (GENE3D); PIRSF000615 (PIRSF); PTHR24416 (PANTHER); IPR000719 (PROSITE_PROFILES); cd00192 (CDD); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004713; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein tyrosine kinase activity; F:protein kinase activity; P:protein phosphorylation
